lat,long,aqi
38.376121344613075,-121.80783215361473,32
38.1871710114687,-120.3937439607828,19
37.344487756630116,-122.8134537954703,13
39.136701261477825,-121.75501596886588,11
39.77963266072544,-120.82015759261485,10
38.67581653556327,-123.78675145794502,17
41.201997384308925,-120.83741227036002,90
41.95268739491991,-123.79747952227507,27
37.3302079152554,-120.64611532800684,63
37.32244634329539,-120.01998503569708,37
36.77002794050596,-121.05050860411697,27
41.01276648324436,-123.72292930253589,8
39.61591770083439,-122.11984753017916,7
38.428474024913555,-121.64624994237799,11
37.77431531380444,-123.16113734434413,3
41.16742621665489,-122.63703947588725,36
39.117720499235055,-122.84933494366071,13
41.15739039447431,-121.90778568139062,72
38.0335551810484,-120.04039709645565,66
40.31262805380349,-121.75814851357298,11
40.390016242543695,-123.25130047775798,72
40.88600505660351,-123.69176357696857,55
39.50429147636019,-122.75321411158876,10
40.542206209876326,-123.9322571088404,7
41.339611271190556,-123.149621720268,13
41.35965615218131,-120.68590719373923,90
36.174355532410786,-122.76901275845684,17
36.75563094523507,-120.70417391585711,23
38.765308285720586,-123.7711815840308,17
41.889588628706676,-123.73131978375052,27
41.86799047316838,-121.71289906965755,7
39.82502227210447,-122.18576901863625,19
41.43748281799576,-122.11991969902965,72
37.193790613896915,-122.10958029819298,16
38.874328393036,-122.98269546168063,9
38.67933925491683,-122.83208640902481,13
37.639962083317315,-123.52821236730418,4
37.03517860276761,-120.19414426923373,22
37.18672312268453,-122.36035137990082,11
36.442415801142445,-121.33978719564736,10
38.19227743990773,-120.6754409786965,60
39.48386063543111,-123.9061448300086,52
37.357417526346374,-121.63428308458994,34
41.36875449194719,-120.67084777208775,90
39.97523701216016,-122.95041163608613,0
40.279108557046214,-122.98940368712846,24
37.38481971604903,-120.21526609382968,37
36.62953059962675,-123.1192124661976,52
37.168462533632,-120.05095338824111,47
41.94980901241146,-120.82784643613815,79
39.981681744319495,-120.22211492987093,14
37.49718404412124,-120.43842841666732,7
40.199928235065485,-122.60747220196764,7
40.773739492205635,-121.18703125833767,32
36.35954242337449,-121.32321242336789,10
41.30252715654587,-123.0918349861965,13
39.87478487384651,-123.15377792513641,0
40.01929431318732,-123.98199436744771,7
36.05171868765259,-122.36273014062405,0
40.945954663720144,-120.33391610909082,23
38.0890280061341,-120.80658615297665,16
38.76346554698344,-121.88148067439892,15
40.48325620041366,-123.14754197616674,72
39.56404455733915,-120.32008750105373,7
37.02676000230894,-122.80874770939734,11
37.895276734799154,-121.2964039508228,71
38.77285324140308,-121.41547996423397,92
37.95695906717691,-122.32631902297354,34
41.62495431579299,-122.68489209468896,95
39.99273701340703,-123.12699449208247,0
41.64047119296603,-122.12625064903008,21
39.77220323119455,-121.62330109669836,29
41.20827987522154,-122.36146688884867,44
38.18646749936277,-123.09947673488587,17
38.77560402370442,-122.88794616390783,13
36.888778637112544,-121.71973317549495,29
41.850484375544255,-120.24279087712597,79
37.284183789628926,-120.27359770896206,22
41.85602936314761,-120.70318274006591,65
38.64654424701443,-121.25877089388185,81
37.72831144448826,-121.63125651377264,13
36.9885442032841,-122.32064298089477,52
39.740877568433625,-122.01548924155043,7
38.67270172578398,-120.89604206795775,41
38.90161800779087,-120.73188494199132,17
41.10235564391049,-123.02293403811701,13
36.879053015791854,-122.79227292296349,52
39.57617698395017,-120.03293402731298,14
41.601941526041536,-123.1636369990377,0
41.32757792105169,-122.00360853108549,72
39.352768782093506,-123.19493270303064,8
37.891774762409966,-120.89295413422728,60
40.930279894716115,-122.0775185353224,13
38.600142866735304,-120.4544692527078,18
41.07820745630658,-122.80416149974506,58
40.61405248082307,-121.30179235370926,32
39.84558145570573,-123.85729504847336,2
40.88052285473107,-123.8930658661743,68
38.30159271222211,-121.66439836443746,33
36.99898178249493,-121.16290679791317,19
39.68071019327366,-121.42817755930413,12
39.48631696910921,-121.614145887093,8
38.90024835936557,-122.27873158485825,25
36.4553852586893,-120.92110978088292,24
38.313109549205635,-123.03620248588727,8
36.84659541383255,-121.37034075316102,19
36.787387387782246,-120.53919764690954,22
39.222740609049076,-122.23115616104892,9
40.96967809953232,-120.98966551345555,32
40.42740722226181,-122.14840130931518,17
39.03178709870414,-123.55514947380941,5
40.860208573475376,-122.01796108796988,13
38.89238678109262,-120.26923384072894,12
36.23810113679696,-122.40178978750765,0
40.292661416658426,-123.02936895186113,24
37.365556785116496,-122.21301653950589,12
41.64473182369267,-123.07292509738035,0
40.34585337232471,-121.73102582107632,11
38.036010421128886,-120.408803233428,38
36.341833232346104,-120.802289010822,7
41.32680616447744,-121.41907281665398,72
38.96261894614891,-122.00070008741157,13
36.19163601851317,-121.88613116998673,0
40.91660459586983,-122.75713676828538,3
39.3418674723029,-120.13389715045075,17
40.57397715437494,-120.14045220571845,6
37.5776719377624,-122.58386680732848,13
40.33813542194972,-120.74052186542964,74
37.93426986921416,-123.49356785477586,4
40.11318741757016,-121.77671628200727,7
36.58227509736781,-121.8337025419028,13
38.370941298043974,-123.18630649262059,2
38.09060371734017,-121.91595027653447,14
40.806345399189425,-122.96571285591928,88
40.06533527258752,-121.05894913239179,4
40.35490344831927,-123.2390570501428,72
41.67151216809682,-121.14894279735799,26
41.55271977481111,-123.56092888831223,12
37.91401632245403,-122.28993662720875,14
40.584593149093315,-122.085131274471,14
37.6968515148588,-121.83735554940506,20
36.11599926551001,-121.01636952604747,34
41.240840263195096,-121.64555088950915,72
38.507471890512804,-123.66726183289627,9
40.94109056359725,-123.50267055509646,34
40.870474049386935,-120.21378478796146,23
39.481563298288094,-121.48216337056891,6
40.97445240903707,-122.52910880829059,3
37.51659954598908,-121.11403572934306,16
40.81582010297181,-121.22437295591526,32
38.65703027176254,-122.07751490675695,22
36.88914914647781,-121.92074802710349,16
38.57515434299916,-123.22110047607778,6
37.543361111718546,-123.02960371768961,13
36.210072513803276,-120.90069399515787,34
39.353966787173796,-120.13356313645323,17
38.73597389700189,-123.20915847806002,18
36.973559758364786,-122.8805719726441,11
40.099543170301146,-120.7078136097835,4
40.17184057470189,-120.73126708358187,4
40.101400070680086,-121.44862428679099,7
37.257926287288655,-122.81396498580011,11
39.346965358362354,-122.38806582211936,10
41.17869272481605,-123.98634519459138,24
40.002026019582345,-123.65287245828463,2
37.00661953094253,-120.48759491910157,23
41.373085782486214,-120.83722923994127,65
37.62579235266078,-121.33206131113671,23
41.44875513388786,-123.93285677215174,11
41.18252229250835,-122.4506580901636,37
37.10568453002052,-121.06790096250096,27
39.44681315838006,-123.0031422965748,8
41.893695791491986,-123.6623584637255,27
36.57534044935331,-122.49666979932996,16
41.84786687212631,-120.3364206620615,79
38.804823415167384,-121.12221800749289,29
38.2292197947616,-123.31751429196738,8
40.524076670102644,-120.6291511688068,74
36.16137944341891,-120.9290888972672,34
39.00914606261453,-123.92843272818284,3
41.685807577422615,-122.92525958985375,62
39.10078668658913,-122.87577595935984,14
37.90174000147528,-122.34130409832781,14
41.60451064848946,-120.66596122809779,65
41.251846436075034,-121.0951216491486,65
40.09814044003169,-122.25277672510856,7
37.399109224689106,-121.17917805605201,16
38.15814127229953,-122.29527779557834,33
39.23582832216383,-120.59754190518856,17
36.24338798296763,-121.08629654410692,34
38.95793711726409,-121.1263920516533,52
38.63946270839183,-120.20961486641194,16
40.75105525409158,-121.72282845276762,13
36.88012304551118,-123.27243211055543,11
39.35742536952378,-121.0061952431551,6
39.696501911194986,-122.14669805987046,18
36.67724040520967,-122.27742633052347,18
41.190512678767014,-123.34342870077455,0
40.147126910951314,-121.01376328787279,4
40.041141432010164,-123.93175404154769,7
41.91367238471569,-122.06017065042359,7
41.06350525603178,-120.07082850946497,23
38.81432054548015,-121.21312956832998,38
41.05933492676948,-121.42104748762748,32
37.22202905318947,-122.24349800187021,12
39.79013497126574,-123.65175409486247,2
40.22980189236994,-122.33739375663428,19
38.82078131338114,-120.37614839248177,12
37.46703173078481,-121.9643482404538,18
39.46865791639206,-123.4243970537936,26
41.234082626451624,-121.42500737370086,72
38.590401075520944,-121.87068997510326,27
40.814909415310446,-120.60786629638793,74
41.71000274582464,-122.60753127375753,95
38.780159442239935,-121.08083542884347,29
38.56388675501522,-122.70049259427951,13
39.60846423297862,-123.85499839954274,22
37.478127198868364,-122.61827352779771,13
40.9585243876304,-120.21083680193843,23
37.93814567100743,-120.89561269037634,60
36.043003524428386,-122.28561829601091,0
37.698279782862556,-120.98628082039373,69
41.48624993289952,-123.07925920577847,62
39.09285290476755,-121.47166495923905,12
38.06474673914978,-120.49937909738918,33
41.90702333211329,-120.96760418709138,41
36.691379858803394,-123.17133979694957,52
36.70070527581379,-121.21880501359858,27
37.91361493989666,-120.67124667758115,18
39.35443330788049,-120.88343797325805,55
40.837928505090964,-123.53020411961907,34
41.21463952313078,-121.43677154710078,72
38.28608363307454,-123.79612696253058,9
41.56020017203899,-121.22867372835616,26
41.82664047162178,-120.31603552792687,79
40.12495482384597,-121.80636482095211,7
40.94703876659657,-120.13155208931599,23
41.565661138252,-122.6262626060953,7
40.54981343066004,-120.83092813342341,74
39.568395792627136,-122.12214108596314,7
37.766590448477515,-121.34608550727054,24
41.72706680618573,-123.78148126389569,27
37.84258555141935,-122.9052874573998,3
41.498521570991144,-121.89211749304395,72
37.94953685105763,-120.91959507431085,56
39.670618820172976,-121.24486356359694,4
41.7381373009643,-120.51558921350382,65
41.53097046783098,-122.24425676592134,24
40.040079969521685,-121.47942959849942,7
41.25157112585279,-121.3646568906249,72
38.5263690730656,-120.84050561240592,14
37.096899744441714,-122.64596741915842,11
38.866251999771904,-120.10450294590869,28
41.4912078458588,-121.71080605898587,21
39.96628756243891,-121.07006132793492,63
39.651767369711294,-121.22329511111421,4
38.08105423595555,-120.05561415807904,19
41.83663805584179,-121.04546517226706,41
41.10276262934208,-121.12101815610498,32
41.54129203091437,-120.13431716433246,65
41.85405019253239,-121.0393119119414,41
41.73778534781763,-120.61141022674566,65
38.12228288179681,-121.46488059299,29
40.225129081733435,-120.80742832176396,4
38.231445176098376,-123.49402161283494,8
38.21562421967606,-123.94793242697307,9
41.25415320078107,-120.63938690810812,65
39.667922478685476,-121.99347185488406,7
36.6389190399457,-121.81816691387095,18
37.81668582678108,-123.2898902525779,4
40.5836674390218,-122.34950328105658,30
39.10428658072495,-121.0617766769703,12
40.40917551838986,-121.66955710827693,11
40.59251629768115,-121.565337870704,32
41.17982301807621,-121.79734116531843,72
37.99732376997274,-122.88050212154668,4
39.05393198074967,-121.84968809643071,42
38.81579386437205,-121.44063311814215,106
40.10050427842449,-123.63678047010082,17
39.21718961735495,-121.11331218086211,52
41.54855075403697,-121.35625379432977,55
41.99464599677941,-121.37927909525483,41
36.41927627034039,-122.10690703047864,13
39.0325654293242,-122.29149735201345,3
39.36639481670798,-120.72141890091073,17
40.863927469252616,-123.64326838712867,34
36.95661494815638,-123.27584821397882,11
38.35935064755586,-120.18523221515618,12
40.05754908346702,-120.43044366165958,16
39.3777233673684,-120.2250495918961,17
37.590945618061404,-120.87820793499104,74
40.557611480873675,-120.53552207484472,74
36.847342075607195,-121.47307236742067,19
37.00163339341855,-120.9106413743616,32
36.85699978373536,-122.76329361061569,42
36.590442779086416,-122.60880739767542,42
40.21727235516125,-123.01744218573367,24
41.104685291885275,-123.52421401619677,7
41.39120188581704,-120.81248955281384,65
39.42528932002616,-121.62182014847343,24
37.68558167201227,-120.85544629078566,26
36.26072827785541,-120.0987349761955,31
41.18837125169835,-122.24975634874737,37
40.528387981098184,-121.8110623989497,11
41.51917056312232,-122.9451071360188,62
40.91134341930641,-122.44842502409983,31
38.50870294241913,-121.0212269523212,0
41.65629003160367,-123.36378664243993,100
36.301117103435104,-121.44969074701645,12
39.5323469880032,-120.09008938370748,14
40.628769107309594,-120.55727277140649,74
40.7792667599767,-123.59882712581808,34
39.73400793794329,-122.01000079000387,7
38.9433417623914,-120.39152974216877,12
41.55018372314976,-121.24799465030665,55
41.24644063882571,-122.76710145114987,58
40.76074852956529,-122.67713020859826,47
36.7614590301863,-120.62742656604782,22
41.28774997652452,-121.38310327726776,72
39.792816473460924,-123.88737454369809,2
40.41774104121419,-120.12445273687145,16
39.61015331959798,-122.15756418487577,7
36.893397778321,-120.47215814133607,33
40.316225299102996,-122.67100162085843,24
37.00342783338858,-120.47220797396618,23
40.77634132979023,-120.8129535566046,74
39.047014272075934,-121.3325265450966,19
41.82646877920132,-123.6818330681369,25
40.28133401136873,-120.21825880187156,16
39.61975128942875,-121.37447310312184,7
37.55277572302887,-123.02333858797209,14
40.38523646153806,-121.20135707820226,2
41.02366201021174,-120.11622395187987,23
41.32042620662027,-120.04307524745741,23
37.66264639717869,-120.11895528012495,18
36.53969323999731,-121.41410062653823,26
37.88340237980962,-122.3130759862553,22
36.27287589210231,-121.32471916521467,6
40.10806964865439,-122.31474671482073,7
39.34986638847631,-120.10496605778339,17
40.29567542862497,-122.54447375555229,17
37.07918669042175,-121.75554231008014,17
39.71680532490776,-120.1328379141504,58
41.324861599596154,-123.40182231359404,12
38.37979327144062,-120.89390526386343,31
37.742309904458786,-121.55679052579175,17
36.56394232003837,-120.0236672000848,22
40.054600276155874,-121.09633855240897,4
40.89928177658642,-120.44373449656659,23
40.28459130272298,-122.53672787795912,17
38.49413913218855,-121.88927209157764,44
38.51058995598343,-122.58763607138278,18
39.67089722128185,-122.25241143397595,21
40.48361700661266,-121.60036414460835,32
38.384088631827865,-120.79074239278066,36
38.68686360289235,-121.2165034614797,66
40.32353200369182,-122.62350845504555,17
40.53902976119689,-122.15178128470374,14
36.458404072247745,-121.86475616597646,28
37.26241988832206,-121.1211755978233,52
40.63145496761331,-123.65327669284683,6
38.411916773279316,-120.76473388048299,36
40.76234361978026,-121.32533016395041,32
40.48179043007759,-122.49477347299494,17
41.20533407422241,-122.3310972805529,37
38.72414687332626,-123.72978708800119,24
41.03087454647127,-123.1213712318324,4
40.66116850208849,-123.62072077121317,6
37.28348412915764,-121.14217543233194,52
41.22295679243847,-123.16432929928264,4
41.164376006532024,-120.31725871769575,23
38.960126704818016,-121.38007509069938,13
37.60842779963869,-120.99041882808115,27
36.47075919465531,-121.4000370688754,26
40.24741589152299,-121.38553256682523,89
40.712082333842304,-120.71337129834407,74
38.65692936560423,-120.99599341566199,64
38.05013139095539,-123.85182438277552,8
38.98193445930605,-122.6483122070265,31
41.448302921062634,-121.46075956326014,55
39.00729412199345,-120.37765622279679,12
41.58089744103605,-123.86191186414979,11
39.092405193172524,-121.68782473857301,12
37.97266562654997,-120.00934019433315,66
40.265755790103995,-121.29202250938204,89
40.864994503902274,-120.38987812422998,23
41.70444449797259,-123.38709635934822,88
38.17231317092598,-120.74089263768892,60
36.07984509113968,-120.14515589172643,80
38.889293305977944,-121.35774412562888,51
38.537503367654004,-122.36722809566773,13
41.60021081922035,-120.47727879867803,65
38.189972584271594,-121.89054922789059,48
37.29028958685853,-122.72354657287772,11
36.73176174195757,-121.1033397002926,27
39.20685234377242,-120.94736295366445,0
37.58709315286203,-122.33821929275722,30
39.18823123039614,-121.99216846035513,25
36.37037096736256,-122.4191252080947,13
37.172658413937135,-120.31282508193931,34
39.56657668803422,-123.1430351432728,56
41.55090128809719,-121.51533700844347,55
38.66029165254581,-121.44782979732882,59
37.68920701817047,-120.10968953226232,18
37.4686145071518,-120.71622738296598,25
36.889782653739154,-122.52783956892004,42
40.489894770373134,-121.7724023878376,11
38.161056497447355,-122.965686285043,4
41.16649049972544,-122.8492224065538,58
38.629190253489845,-122.17683945955278,13
39.87562664741871,-120.761109629326,7
37.27734472477988,-122.19018019760561,12
41.49425649898217,-121.1058772559036,65
38.721550165266,-121.76502950001422,23
38.10410462630207,-121.78100714438348,32
41.377608174674414,-121.21193163155922,65
37.902989928151854,-120.52813295325069,18
38.38839443701559,-122.06810198569063,30
39.30808971694887,-120.6881724011885,17
41.61029925091631,-123.44819763240481,88
37.09714073617134,-123.37078957626711,11
39.44682651333794,-121.23378233460608,11
39.75317570096417,-123.84552693752552,2
40.48829343344916,-120.19282973840683,16
40.11243122225199,-123.7023745723357,11
41.49149635564174,-123.53172876120455,12
37.18102366349582,-122.66305389287666,11
40.82309041458517,-122.22701482261105,24
38.94994470872398,-123.92423302647546,3
40.118168518364804,-121.73871069095378,7
39.412582400022075,-121.96671941040611,32
36.71013334496362,-122.8413766166344,42
40.37041189237938,-121.30812536684348,2
40.351912339025546,-122.83373793771248,24
38.74684919279972,-120.75959133595092,55
37.03027654373728,-121.38985165904049,16
38.652824505789134,-121.57924414711238,59
38.73111352633909,-123.61450367448971,24
38.799439444820884,-120.11274650221982,15
41.95042615034917,-123.85652785647478,25
36.02324810747495,-120.72976499874808,19
41.18577844646809,-122.69402653397918,58
40.073497572502994,-123.88008246755139,23
40.10618662369852,-120.32666162002913,16
36.7544249697487,-120.34333490407313,28
39.45220430665086,-122.1669810897576,7
40.99321064761218,-121.21258154594318,32
40.20019477073126,-123.05792931719826,24
41.857096175177176,-122.13833212455553,14
37.39587741319584,-121.8267984143741,34
36.72795378769421,-121.36181547257405,27
39.2285797244781,-123.15745989572913,42
36.744506767907325,-122.04074979683165,17
36.70352731524903,-120.26416566802968,26
38.34692690138444,-122.36002161323545,25
38.97454721320046,-121.25569310504369,51
37.56260142134397,-123.66243622501229,4
38.29497613673617,-123.03432277450905,8
37.842323222939555,-120.96785256062007,55
41.46251719889091,-121.92712713697618,72
41.59996461143281,-120.95489975893295,65
41.83869386065143,-123.60319337906978,88
41.968780008410725,-123.82286945138216,25
39.81836009661902,-123.1877098402246,0
38.439404465139894,-123.11193012669615,2
40.377544001583786,-121.80367713562174,11
38.58598047306716,-120.67679997270132,15
38.00405087753635,-122.35865001932119,34
39.21372238108552,-122.39922117043345,9
40.98478066351397,-122.67664604934775,0
36.65938284832277,-123.12561361262567,42
40.048043082473164,-121.91728411607573,14
36.87436861159181,-121.34011401319233,18
39.98622696697232,-120.20165978213359,37
39.95860467458774,-122.14667713922672,17
37.02362442668457,-122.79930152057429,11
41.93877289181805,-121.99872697397467,7
37.446000124210094,-120.95812585302961,26
40.28846715458862,-120.6005252490951,16
38.375097445134294,-120.92637274651202,31
38.816859967766035,-121.53812356889041,142
37.071471236119024,-123.1070834371617,11
38.68905187430237,-121.36603916160624,19
37.11992376133711,-122.90001792154494,11
37.41385041116734,-123.35183666842426,14
38.41416702931051,-122.05521910781894,30
38.624116570934916,-121.78934399429771,27
39.85179846595341,-120.63626124575383,9
36.94740711450334,-121.22216536280686,18
39.06635971406023,-121.68977785918617,12
36.189545963802885,-122.65000327157242,0
40.371284128975816,-123.78594038481027,11
36.712473695110205,-122.44514778809386,42
36.80421512314345,-122.65147137404642,42
36.42960160088079,-120.72042837486826,6
37.7864693515284,-120.99603181173394,55
41.799163945535,-121.22852837455254,55
41.41261010128183,-123.74126016051537,26
36.55780043803392,-122.25926919819032,16
40.236865066431065,-122.09211570549765,25
37.81289348473935,-121.23500102071597,60
39.0415163907276,-122.03515540561474,13
41.91848442220759,-120.89413816011766,41
37.433845320513335,-123.57600927424299,14
36.018951376959826,-122.64915066501686,0
41.25001724561496,-123.96299872553772,19
39.02042145625609,-123.95550760022661,3
36.17605005863235,-122.90047476978864,13
40.37510355186592,-121.73230370177771,11
41.43470207314635,-120.90453224718745,65
38.28577085600826,-122.80201790347806,63
40.65192809193085,-122.27188233121744,13
40.60052883104807,-123.94228774478464,6
40.31932461552065,-122.56723330804694,17
37.495544765583205,-122.21320626257004,21
39.26815895883813,-123.91258931321511,17
37.93114522685506,-121.05594281554825,56
40.974437840960505,-120.08549723839663,23
40.8412154984147,-120.52361688951217,74
41.69451116699471,-121.08419667371543,55
41.984996042852714,-120.44706268510875,79
37.52421797567984,-120.02309905709991,53
38.47759040986828,-121.5209058843933,26
40.47042001289133,-120.15662990309843,16
38.208564448219114,-120.61203943914973,17
38.54692718614185,-123.94482160937089,24
39.011170982378914,-122.66635930110695,31
36.58284598332397,-120.36648312557398,26
37.984555714615865,-123.32754913652033,4
37.46251045905007,-122.32863049188538,16
38.07789356697593,-122.86362637354415,4
37.614001007130454,-120.44257372930066,21
36.06873528636515,-121.86356331869541,0
38.624418779838734,-122.84408152288961,8
40.0100073329415,-122.10390901386943,14
39.05684112949529,-121.39498700483985,31
38.567342943876604,-123.7580086247786,24
39.94250945915804,-122.6495725355577,7
38.76272130773899,-120.04466431620808,15
37.633658777610464,-123.59750540500815,4
41.8352871280735,-122.81926944174013,75
41.05238921170185,-123.36667258178052,4
37.46629377387557,-122.78268721996237,14
37.0579126955706,-122.47958452180725,11
40.62007556763132,-122.27366435770338,13
41.90320293195181,-122.40213516557871,7
38.26711969653993,-121.18673049499255,26
38.24149764982421,-120.1157972347785,52
41.35993328965872,-120.1546073302866,23
39.87993167838405,-121.51793168682657,12
37.67217686582402,-121.55054151809463,28
36.889773944105116,-121.25849243543536,18
39.57698749927992,-123.02534305618151,8
41.79143695579208,-123.43613136423916,88
37.02455711999928,-120.7221773608471,23
39.59003735927792,-123.15692464058024,0
39.51619190325311,-122.02903418798698,7
39.860469761448954,-121.94995698042989,7
41.778785363941616,-121.7886463698905,14
37.4183900386175,-122.0997632837816,13
36.13321967591467,-122.07207869148378,0
36.94784155453539,-122.19920392223595,42
40.8744114607817,-121.71960484687604,13
40.03487685250123,-123.22287190509952,9
40.254185987434816,-120.58647465364842,16
39.122835015271654,-121.08129531989668,12
37.544775821476385,-121.15242977262038,16
40.4553865038141,-122.06749972867549,11
38.23538743973734,-122.01400900478521,15
36.54062531614783,-123.0527483287713,42
40.65215995145277,-122.57018877477023,47
38.547528085504524,-120.52755411425281,14
39.27452930245755,-122.63257137507628,10
39.96251141243423,-121.19717209995187,63
41.37895760508142,-121.30945285720685,65
39.99116666192501,-120.94885000931926,63
37.69409228830544,-122.81872139518681,3
37.46607688459037,-121.06833421242509,16
37.49143033585637,-121.10367076762078,16
40.61553711608302,-123.48554323820073,99
39.178413257098335,-122.04703185289449,25
39.41834464857215,-120.64450022892369,4
36.53790060816633,-121.74888448350924,28
36.78011142921117,-120.77131069511562,23
40.76521162184261,-122.24888574145014,13
38.05660116504742,-120.67276341949153,23
39.39367740511567,-120.69463394644583,17
41.35621397716972,-120.43903591005879,65
40.491251862504534,-120.85847495693882,74
40.75797805934348,-122.90737156488187,88
40.14804231605349,-121.6842140545149,7
41.49622651200754,-123.33724598738007,12
39.83618420065789,-121.91967220627774,7
38.61760369130323,-121.41323149817062,82
39.53724305023886,-121.38000278211123,6
41.90136407121915,-120.40449152202588,79
37.973922540246036,-122.1499074238941,34
41.37976648586644,-123.80743414318785,11
36.370728137685205,-121.6395350462558,13
